                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.4787,                 2.2825,                  1.713,                0.56277,                0.11394,                0.07342,                0.04572,                 1.5163,                 2.2426,                 1.7305,             0.00066902,             0.00066902,             0.00066902
                     34,                 1.4485,                  2.283,                 1.6683,                0.49679,                0.10396,                 0.0631,                0.04086,                 1.5005,                  2.288,                 1.6972,             0.00066152,             0.00066152,             0.00066152
                     35,                 1.4445,                 2.2837,                 1.6836,                0.51131,                0.11246,                0.07709,                0.04665,                 1.4682,                  2.313,                 1.6969,             0.00065403,             0.00065403,             0.00065403
                     36,                  1.431,                 2.2768,                 1.6686,                0.33819,                0.11231,                0.07551,                0.04932,                 1.4516,                 2.3075,                 1.6785,             0.00064653,             0.00064653,             0.00064653
                     37,                 1.4109,                 2.2623,                 1.6347,                0.40867,                0.11558,                0.07561,                 0.0479,                 1.4553,                 2.2633,                 1.6478,             0.00063903,             0.00063903,             0.00063903
                     38,                 1.3815,                 2.1841,                 1.6132,                0.67375,                0.10068,                0.07405,                0.04796,                 1.4044,                 2.2182,                 1.6343,             0.00063153,             0.00063153,             0.00063153
                     39,                 1.3936,                 2.2359,                 1.6157,                0.50066,                0.10592,                0.07383,                0.04715,                 1.3515,                 2.1778,                 1.6177,             0.00062403,             0.00062403,             0.00062403
                     40,                 1.4285,                 2.2792,                 1.6409,                0.36029,                0.11395,                0.06945,                0.04607,                 1.4171,                 2.2186,                 1.6401,             0.00061653,             0.00061653,             0.00061653
                     41,                 1.3717,                 2.2354,                 1.6058,                0.28501,                0.10735,                0.07321,                0.04774,                 1.4152,                 2.2356,                 1.6411,             0.00060903,             0.00060903,             0.00060903
                     42,                 1.3454,                 2.1715,                  1.566,                0.35478,                0.11054,                0.07385,                0.04784,                 1.3686,                 2.1983,                 1.6121,             0.00060153,             0.00060153,             0.00060153
                     43,                 1.3735,                 2.1901,                 1.6117,                0.49445,                0.11538,                0.07189,                0.04481,                 1.3648,                 2.1705,                 1.5996,             0.00059403,             0.00059403,             0.00059403
                     44,                 1.3719,                 2.1808,                 1.6019,                0.51906,                0.12015,                0.07806,                0.05448,                 1.3576,                 2.1553,                 1.5873,             0.00058653,             0.00058653,             0.00058653
                     45,                 1.3521,                 2.1548,                 1.5673,                0.51689,                0.11264,                0.07692,                0.05121,                 1.3729,                 2.1196,                 1.5956,             0.00057903,             0.00057903,             0.00057903
                     46,                 1.3262,                 2.1168,                 1.5581,                0.45624,                0.10733,                0.08096,                0.05483,                 1.3586,                 2.1466,                 1.5825,             0.00057153,             0.00057153,             0.00057153
                     47,                  1.326,                 2.1369,                 1.5646,                0.41502,                0.13298,                0.08993,                 0.0569,                 1.3359,                 2.0844,                 1.5831,             0.00056403,             0.00056403,             0.00056403
                     48,                 1.2743,                 2.1173,                 1.5247,                 0.5184,                0.12307,                0.08208,                0.05277,                 1.3729,                  2.116,                  1.603,             0.00055654,             0.00055654,             0.00055654
                     49,                 1.2798,                   2.06,                 1.5215,                0.36198,                0.12353,                 0.0759,                0.05052,                 1.3782,                  2.126,                 1.6012,             0.00054904,             0.00054904,             0.00054904
                     50,                 1.2971,                 2.0896,                 1.5218,                0.41687,                0.10826,                0.07196,                0.04728,                 1.3424,                 2.1829,                 1.5604,             0.00054154,             0.00054154,             0.00054154
                     51,                 1.3018,                 2.0645,                 1.5321,                0.59919,                 0.1232,                 0.0798,                0.05473,                 1.2987,                 2.0766,                 1.5515,             0.00053404,             0.00053404,             0.00053404
                     52,                  1.248,                 2.0698,                 1.5024,                0.25724,                0.13158,                0.07299,                0.04814,                 1.3555,                 2.1416,                 1.5841,             0.00052654,             0.00052654,             0.00052654
                     53,                  1.249,                  1.991,                 1.4823,                0.43486,                 0.1264,                0.07979,                0.05355,                 1.3191,                 2.0688,                 1.5653,             0.00051904,             0.00051904,             0.00051904
