                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.5864,                 2.3285,                 1.6957,                0.21255,                0.11078,                0.06628,                0.04004,                 1.6397,                 2.2914,                 1.6907,             0.00062103,             0.00062103,             0.00062103
                     34,                 1.5785,                 2.3459,                 1.6873,                0.23681,                0.12419,                 0.0657,                0.03899,                 1.6233,                 2.3358,                  1.649,             0.00061203,             0.00061203,             0.00061203
                     35,                 1.5797,                  2.319,                 1.6653,                0.36277,                0.11457,                0.06607,                0.04013,                 1.5916,                 2.2749,                 1.6619,             0.00060303,             0.00060303,             0.00060303
                     36,                 1.5639,                 2.3127,                 1.6748,                0.36895,                  0.095,                0.06569,                0.04068,                 1.5989,                  2.294,                 1.6665,             0.00059403,             0.00059403,             0.00059403
                     37,                 1.5613,                 2.2906,                 1.6428,                0.25358,                0.12407,                0.06962,                 0.0425,                 1.6026,                 2.2851,                 1.6515,             0.00058503,             0.00058503,             0.00058503
                     38,                 1.5919,                 2.3331,                 1.6705,                0.41209,                0.13064,                0.07462,                0.04675,                 1.5732,                 2.2997,                 1.6432,             0.00057603,             0.00057603,             0.00057603
                     39,                 1.5454,                 2.2755,                 1.6446,                  0.244,                0.13624,                 0.0705,                0.04575,                 1.5823,                 2.3541,                 1.6635,             0.00056703,             0.00056703,             0.00056703
                     40,                 1.5075,                 2.2754,                 1.6116,                0.50963,                0.08999,                0.06959,                0.04343,                 1.5651,                 2.3163,                 1.6474,             0.00055804,             0.00055804,             0.00055804
                     41,                 1.5186,                 2.2837,                 1.6146,                0.37849,                0.09596,                0.07298,                0.04625,                 1.5791,                 2.2745,                 1.6359,             0.00054904,             0.00054904,             0.00054904
                     42,                 1.5317,                 2.2508,                 1.6305,                0.40013,                0.12796,                 0.0723,                0.04478,                 1.5626,                 2.2735,                 1.6185,             0.00054004,             0.00054004,             0.00054004
                     43,                 1.5257,                 2.2496,                 1.6117,                0.24212,                0.09993,                0.07302,                 0.0457,                  1.551,                 2.2497,                 1.6299,             0.00053104,             0.00053104,             0.00053104
                     44,                 1.5185,                  2.245,                 1.6207,                0.32736,                 0.1117,                 0.0782,                0.05044,                 1.5951,                 2.2477,                 1.6491,             0.00052204,             0.00052204,             0.00052204
                     45,                  1.457,                 2.1865,                 1.5839,                0.21228,                0.10741,                0.07325,                0.04576,                 1.5392,                 2.2508,                 1.6077,             0.00051304,             0.00051304,             0.00051304
                     46,                  1.479,                 2.1973,                 1.5862,                0.15225,                0.10948,                0.07349,                0.04552,                 1.5946,                 2.2054,                 1.6494,             0.00050404,             0.00050404,             0.00050404
                     47,                 1.4678,                 2.1344,                 1.5655,                0.24461,                0.12379,                0.07464,                0.04597,                 1.5682,                 2.2369,                 1.6368,             0.00049504,             0.00049504,             0.00049504
